dataset, Time,Mean,Median,Lower Quartile,Upper Quartile,Standard Deviation,No of Codons
PRD1,2013.33,0,0,0,0,0,0
PRD1,2014.17,0.534807416145637,0.5418141436640171,0.0,0.8896570303762332,0.5545224687823718,563
PRD1,2015.17,2.520368921608753,2.517921576194705,1.0142391206360086,3.8269172038070223,1.7684941928819564,563
PRD1,2017.17,3.072925336607541,2.9733764019738538,2.057910264004498,4.265921463290107,1.7466968830705296,563

YRD1,2013.33,0,0,0,0,0,0
YRD1,2014.17,0.012199999999999999,0.007,0.0,0.0215,0.015068731421943475,563
YRD1,2015.17,1.1958801592886672,1.3112929659264938,0.39575790545123346,1.6414527006914401,0.8394090084364492,563

YRD2.2,2013.33,0,0,0,0,0,0
YRD2.2,2014.17,1.9138937493724015,1.6808715611254472,0.5151504304079807,3.06911902588194,1.618470927262878,563
YRD2.2,2015.17,3.0656596576257007,3.2121694260123106,1.3200070154638626,4.314762353246704,2.1477373004080618,563
YRD2.2,2017.17,6.677429522249967,6.67529143870782,4.810380793419748,8.066442035158982,2.299884139447511,563

YRD2.1,2013.33,0,0,0,0,0,0
YRD2.1,2015.17,4.962527601276392,4.861296990094775,2.6430964527925602,7.169324569167024,2.7730446983946746,563
YRD2.1,2017.17,11.42188567370807,11.540583563564919,10.10177723536759,12.954322423836503,2.681981092656045,563

